"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3677","authenticate as player","setup","2026-03-24","passed","2026-03-24","","auth.setup.js","",""
"","1151","TC-005 [High] Verify Log In button is displaying and navigates to login page","guest","2026-03-24","passed","2026-03-24","Home Page","Homepage.spec.js","",""
"","12334","TC-125 [Low] Verify Confirm button is not visible without team members filled","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","10271","TC-198 [Medium] Verify user can change first name and last name","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1985","TC-214 [Medium] Verify confirm new password field is mandatory","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","4191","TC-007 [High] Competition details page displays real content","guest","2026-03-24","passed","2026-03-24","Home Page > Ongoing Competitions","Homepage.spec.js","",""
"","14790","TC-116 [Medium] Verify Join Competition button is displaying on detail page","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","980","TC-049 [Medium] Verify Create Account submit button is displaying","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1668","TC-107 [Medium] Verify search box is displaying and user can fill it","chromium","2026-03-24","passed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","6268","TC-204 [Low] Verify bio field is displaying and user can fill it","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1551","TC-031 [Medium] Verify first name is mandatory and displays as required","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1564","TC-045 [High] Verify confirm password mismatch validation","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","2608","TC-068 [High] Verify user navigates to Forgot Password page by clicking Forgot Password","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","12417","TC-120 [Medium] Verify team name field is displaying and user can fill it","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","1838","TC-034 [Medium] Verify last name is mandatory and accepts only alphabetic characters","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","2424","TC-213 [Medium] Verify confirm new password field is displaying and user can fill it","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","5868","TC-073 [High] Verify success message is shown after clicking Send Link with valid email","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","1500","TC-038 [Low] Verify validation message for invalid email","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","2926","TC-070 [Medium] Verify email field is displaying as mandatory","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","16119","TC-114 [High] Verify user navigates to competition details page by clicking View Details","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","3230","TC-208 [Medium] Verify reset password section is displaying under security section","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1193","TC-002 [High] Verify introductory information about Beva is displayed on landing page","guest","2026-03-24","passed","2026-03-24","Home Page","Homepage.spec.js","",""
"","1502","TC-055 [Medium] Verify email field is displaying as mandatory","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","1267","TC-043 [Medium] Verify confirm password field is displaying as mandatory","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","2389","TC-176 [Medium] Verify records display according to venue name and postcode search","chromium","2026-03-24","passed","2026-03-24","Player Venues","Player_Venues.spec.js","",""
"","1550","TC-042 [High] Verify confirm password field is displaying and user can fill it","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","4282","TC-065 [High] Verify user navigates to dashboard after successful login","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","1731","TC-041 [High] Verify password validation rules","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
